Pathway_name ;Curated_found;Curated_Total
Classical antibody-mediated complement activation;2;97
Complement cascade;3;156
Creation of C4 and C2 activators;2;111
Digestion of dietary carbohydrate;1;27
FCERI mediated Ca+2 mobilization;2;129
FCGR activation;2;103
FCGR3A-mediated IL10 synthesis;2;141
Formation of the Early Elongation Complex;1;34
Formation of the HIV-1 Early Elongation Complex;1;34
Initial triggering of complement;2;120
Metal sequestration by antimicrobial proteins;1;13
Mineralocorticoid biosynthesis;1;20
Mtb iron assimilation by chelation;1;17
Negative regulation of TCF-dependent signaling by WNT ligand antagonists;1;15
Regulation of Complement cascade;3;139
Role of LAT2/NTAL/LAB on calcium mobilization;2;107
Role of phospholipids in phagocytosis;2;129
Scavenging of heme from plasma;2;106
Thyroxine biosynthesis;1;29
